Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2020,March,1 North West Metro, Banyule,"7,287 ","5,504.9 "
2020,March,1 North West Metro, Brimbank,"15,506 ","7,376.8 "
2020,March,1 North West Metro, Darebin,"11,909 ","7,182.7 "
2020,March,1 North West Metro, Hobsons Bay,"4,908 ","4,977.9 "
2020,March,1 North West Metro, Hume,"15,933 ","6,599.8 "
2020,March,1 North West Metro, Maribyrnong,"7,319 ","7,652.1 "
2020,March,1 North West Metro, Melbourne,"26,941 ","14,368.5 "
2020,March,1 North West Metro, Melton,"9,341 ","5,431.1 "
2020,March,1 North West Metro, Moonee Valley,"6,727 ","5,094.5 "
2020,March,1 North West Metro, Moreland,"11,132 ","5,899.1 "
2020,March,1 North West Metro, Nillumbik,"1,690 ","2,593.1 "
2020,March,1 North West Metro, Whittlesea,"12,276 ","5,180.5 "
2020,March,1 North West Metro, Wyndham,"13,898 ","4,902.8 "
2020,March,1 North West Metro, Yarra,"11,452 ","11,102.7 "
2020,March,1 North West Metro,Total,"156,319 ","6,758.2 "
2020,March,2 Eastern, Alpine,438 ,"3,406.4 "
2020,March,2 Eastern, Bass Coast,"1,793 ","4,836.9 "
2020,March,2 Eastern, Baw Baw,"3,598 ","6,581.1 "
2020,March,2 Eastern, Benalla,940 ,"6,679.7 "
2020,March,2 Eastern, Boroondara,"6,523 ","3,537.1 "
2020,March,2 Eastern, East Gippsland,"3,657 ","7,653.0 "
2020,March,2 Eastern, Greater Shepparton,"6,398 ","9,567.7 "
2020,March,2 Eastern, Indigo,432 ,"2,566.4 "
2020,March,2 Eastern, Knox,"8,895 ","5,382.2 "
2020,March,2 Eastern, Latrobe,"10,099 ","13,303.8 "
2020,March,2 Eastern, Manningham,"3,746 ","2,911.2 "
2020,March,2 Eastern, Mansfield,338 ,"3,636.9 "
2020,March,2 Eastern, Maroondah,"5,935 ","4,958.5 "
2020,March,2 Eastern, Mitchell,"3,132 ","6,534.9 "
2020,March,2 Eastern, Moira,"1,844 ","6,144.8 "
2020,March,2 Eastern, Monash,"9,596 ","4,714.6 "
2020,March,2 Eastern, Murrindindi,601 ,"4,080.3 "
2020,March,2 Eastern, South Gippsland,"1,367 ","4,538.5 "
2020,March,2 Eastern, Strathbogie,476 ,"4,374.9 "
2020,March,2 Eastern, Towong,156 ,"2,578.4 "
2020,March,2 Eastern, Wangaratta,"1,754 ","5,974.3 "
2020,March,2 Eastern, Wellington,"3,390 ","7,602.1 "
2020,March,2 Eastern, Whitehorse,"7,380 ","4,103.1 "
2020,March,2 Eastern, Wodonga,"2,842 ","6,617.5 "
2020,March,2 Eastern, Yarra Ranges,"6,209 ","3,870.8 "
2020,March,2 Eastern,Total,"91,539 ","5,279.5 "
2020,March,3 Southern Metro, Bayside,"4,205 ","3,904.3 "
2020,March,3 Southern Metro, Cardinia,"5,313 ","4,534.2 "
2020,March,3 Southern Metro, Casey,"17,338 ","4,747.6 "
2020,March,3 Southern Metro, Frankston,"11,121 ","7,736.2 "
2020,March,3 Southern Metro, Glen Eira,"6,113 ","3,883.9 "
2020,March,3 Southern Metro, Greater Dandenong,"14,744 ","8,673.9 "
2020,March,3 Southern Metro, Kingston,"9,052 ","5,420.3 "
2020,March,3 Southern Metro, Mornington Peninsula,"8,643 ","5,109.8 "
2020,March,3 Southern Metro, Port Phillip,"10,004 ","8,498.1 "
2020,March,3 Southern Metro, Stonnington,"9,487 ","7,978.3 "
2020,March,3 Southern Metro,Total,"96,020 ","5,876.5 "
2020,March,4 Western, Ararat,898 ,"7,570.6 "
2020,March,4 Western, Ballarat,"8,732 ","7,833.3 "
2020,March,4 Western, Buloke,254 ,"4,174.8 "
2020,March,4 Western, Campaspe,"2,801 ","7,442.3 "
2020,March,4 Western, Central Goldfields,867 ,"6,555.0 "
2020,March,4 Western, Colac-Otway,"1,285 ","5,951.5 "
2020,March,4 Western, Corangamite,551 ,"3,460.7 "
2020,March,4 Western, Gannawarra,607 ,"5,807.4 "
2020,March,4 Western, Glenelg,"1,171 ","5,964.8 "
2020,March,4 Western, Golden Plains,472 ,"1,947.3 "
2020,March,4 Western, Greater Bendigo,"8,337 ","6,948.1 "
2020,March,4 Western, Greater Geelong,"17,045 ","6,437.8 "
2020,March,4 Western, Hepburn,739 ,"4,599.8 "
2020,March,4 Western, Hindmarsh,248 ,"4,483.7 "
2020,March,4 Western, Horsham,"1,360 ","6,823.7 "
2020,March,4 Western, Loddon,367 ,"4,899.6 "
2020,March,4 Western, Macedon Ranges,"1,725 ","3,379.8 "
2020,March,4 Western, Mildura,"5,581 ","9,964.7 "
2020,March,4 Western, Moorabool,"1,644 ","4,569.7 "
2020,March,4 Western, Mount Alexander,894 ,"4,488.6 "
2020,March,4 Western, Moyne,509 ,"2,986.3 "
2020,March,4 Western, Northern Grampians,735 ,"6,488.5 "
2020,March,4 Western, Pyrenees,350 ,"4,679.6 "
2020,March,4 Western, Queenscliffe,101 ,"3,419.9 "
2020,March,4 Western, Southern Grampians,890 ,"5,534.6 "
2020,March,4 Western, Surf Coast,"1,046 ","3,051.0 "
2020,March,4 Western, Swan Hill,"1,775 ","8,622.7 "
2020,March,4 Western, Warrnambool,"2,477 ","7,000.3 "
2020,March,4 Western, West Wimmera,141 ,"3,710.1 "
2020,March,4 Western, Yarriambiack,324 ,"4,917.5 "
2020,March,4 Western,Total,"63,926 ","6,240.6 "
2020,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,380 ",
2020,March,Justice Institutions and Immigration Facilities,Total,"1,380 ",
2020,March,Unincorporated Vic, Unincorporated Vic,110 ,
2020,March,Unincorporated Vic,Total,110 ,
2019,March,1 North West Metro, Banyule,"7,014 ","5,328.5 "
2019,March,1 North West Metro, Brimbank,"14,673 ","7,003.0 "
2019,March,1 North West Metro, Darebin,"11,248 ","6,850.9 "
2019,March,1 North West Metro, Hobsons Bay,"4,849 ","4,960.6 "
2019,March,1 North West Metro, Hume,"15,596 ","6,680.1 "
2019,March,1 North West Metro, Maribyrnong,"6,672 ","7,139.8 "
2019,March,1 North West Metro, Melbourne,"26,575 ","14,850.1 "
2019,March,1 North West Metro, Melton,"8,326 ","5,049.3 "
2019,March,1 North West Metro, Moonee Valley,"6,487 ","4,978.7 "
2019,March,1 North West Metro, Moreland,"11,408 ","6,141.0 "
2019,March,1 North West Metro, Nillumbik,"1,626 ","2,497.9 "
2019,March,1 North West Metro, Whittlesea,"11,912 ","5,173.8 "
2019,March,1 North West Metro, Wyndham,"11,464 ","4,238.3 "
2019,March,1 North West Metro, Yarra,"11,183 ","11,018.3 "
2019,March,1 North West Metro,Total,"149,033 ","6,602.5 "
2019,March,2 Eastern, Alpine,399 ,"3,113.8 "
2019,March,2 Eastern, Bass Coast,"1,784 ","4,911.9 "
2019,March,2 Eastern, Baw Baw,"3,181 ","5,957.4 "
2019,March,2 Eastern, Benalla,878 ,"6,254.9 "
2019,March,2 Eastern, Boroondara,"5,564 ","3,037.1 "
2019,March,2 Eastern, East Gippsland,"3,198 ","6,758.8 "
2019,March,2 Eastern, Greater Shepparton,"6,230 ","9,368.7 "
2019,March,2 Eastern, Indigo,371 ,"2,221.4 "
2019,March,2 Eastern, Knox,"8,094 ","4,919.2 "
2019,March,2 Eastern, Latrobe,"9,942 ","13,157.6 "
2019,March,2 Eastern, Manningham,"3,412 ","2,674.5 "
2019,March,2 Eastern, Mansfield,321 ,"3,498.3 "
2019,March,2 Eastern, Maroondah,"6,035 ","5,090.3 "
2019,March,2 Eastern, Mitchell,"3,035 ","6,586.1 "
2019,March,2 Eastern, Moira,"1,682 ","5,620.7 "
2019,March,2 Eastern, Monash,"8,034 ","3,960.6 "
2019,March,2 Eastern, Murrindindi,593 ,"4,070.0 "
2019,March,2 Eastern, South Gippsland,996 ,"3,329.5 "
2019,March,2 Eastern, Strathbogie,448 ,"4,155.5 "
2019,March,2 Eastern, Towong,173 ,"2,864.2 "
2019,March,2 Eastern, Wangaratta,"1,639 ","5,615.5 "
2019,March,2 Eastern, Wellington,"2,923 ","6,586.3 "
2019,March,2 Eastern, Whitehorse,"6,369 ","3,563.3 "
2019,March,2 Eastern, Wodonga,"2,421 ","5,752.9 "
2019,March,2 Eastern, Yarra Ranges,"5,768 ","3,617.2 "
2019,March,2 Eastern,Total,"83,490 ","4,854.9 "
2019,March,3 Southern Metro, Bayside,"3,605 ","3,373.5 "
2019,March,3 Southern Metro, Cardinia,"4,612 ","4,112.0 "
2019,March,3 Southern Metro, Casey,"16,309 ","4,608.7 "
2019,March,3 Southern Metro, Frankston,"11,157 ","7,821.6 "
2019,March,3 Southern Metro, Glen Eira,"4,896 ","3,128.2 "
2019,March,3 Southern Metro, Greater Dandenong,"14,201 ","8,442.9 "
2019,March,3 Southern Metro, Kingston,"8,609 ","5,193.0 "
2019,March,3 Southern Metro, Mornington Peninsula,"8,162 ","4,868.9 "
2019,March,3 Southern Metro, Port Phillip,"9,683 ","8,376.2 "
2019,March,3 Southern Metro, Stonnington,"8,170 ","6,937.4 "
2019,March,3 Southern Metro,Total,"89,404 ","5,563.3 "
2019,March,4 Western, Ararat,911 ,"7,691.0 "
2019,March,4 Western, Ballarat,"8,132 ","7,426.1 "
2019,March,4 Western, Buloke,214 ,"3,494.4 "
2019,March,4 Western, Campaspe,"2,920 ","7,761.4 "
2019,March,4 Western, Central Goldfields,917 ,"6,954.3 "
2019,March,4 Western, Colac-Otway,"1,321 ","6,126.0 "
2019,March,4 Western, Corangamite,487 ,"3,040.0 "
2019,March,4 Western, Gannawarra,582 ,"5,557.7 "
2019,March,4 Western, Glenelg,956 ,"4,859.2 "
2019,March,4 Western, Golden Plains,510 ,"2,149.9 "
2019,March,4 Western, Greater Bendigo,"8,096 ","6,855.6 "
2019,March,4 Western, Greater Geelong,"15,791 ","6,098.5 "
2019,March,4 Western, Hepburn,619 ,"3,874.8 "
2019,March,4 Western, Hindmarsh,251 ,"4,491.8 "
2019,March,4 Western, Horsham,"1,437 ","7,213.5 "
2019,March,4 Western, Loddon,386 ,"5,143.9 "
2019,March,4 Western, Macedon Ranges,"1,784 ","3,551.6 "
2019,March,4 Western, Mildura,"5,497 ","9,855.3 "
2019,March,4 Western, Moorabool,"1,633 ","4,659.2 "
2019,March,4 Western, Mount Alexander,751 ,"3,801.8 "
2019,March,4 Western, Moyne,459 ,"2,707.5 "
2019,March,4 Western, Northern Grampians,762 ,"6,683.0 "
2019,March,4 Western, Pyrenees,419 ,"5,607.6 "
2019,March,4 Western, Queenscliffe,118 ,"4,013.6 "
2019,March,4 Western, Southern Grampians,"1,109 ","6,888.2 "
2019,March,4 Western, Surf Coast,900 ,"2,690.1 "
2019,March,4 Western, Swan Hill,"1,869 ","9,051.3 "
2019,March,4 Western, Warrnambool,"3,009 ","8,552.9 "
2019,March,4 Western, West Wimmera,125 ,"3,254.4 "
2019,March,4 Western, Yarriambiack,320 ,"4,820.0 "
2019,March,4 Western,Total,"62,285 ","6,159.6 "
2019,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,482 ",
2019,March,Justice Institutions and Immigration Facilities,Total,"1,482 ",
2019,March,Unincorporated Vic, Unincorporated Vic,95 ,
2019,March,Unincorporated Vic,Total,95 ,
2018,March,1 North West Metro, Banyule,"7,371 ","5,659.1 "
2018,March,1 North West Metro, Brimbank,"13,552 ","6,492.2 "
2018,March,1 North West Metro, Darebin,"11,424 ","7,067.0 "
2018,March,1 North West Metro, Hobsons Bay,"4,830 ","5,006.2 "
2018,March,1 North West Metro, Hume,"15,267 ","6,802.8 "
2018,March,1 North West Metro, Maribyrnong,"6,585 ","7,203.6 "
2018,March,1 North West Metro, Melbourne,"26,834 ","15,755.3 "
2018,March,1 North West Metro, Melton,"7,804 ","4,979.6 "
2018,March,1 North West Metro, Moonee Valley,"6,691 ","5,231.2 "
2018,March,1 North West Metro, Moreland,"11,022 ","6,063.4 "
2018,March,1 North West Metro, Nillumbik,"1,795 ","2,764.0 "
2018,March,1 North West Metro, Whittlesea,"11,341 ","5,077.7 "
2018,March,1 North West Metro, Wyndham,"10,864 ","4,254.3 "
2018,March,1 North West Metro, Yarra,"10,648 ","10,802.8 "
2018,March,1 North West Metro,Total,"146,028 ","6,662.1 "
2018,March,2 Eastern, Alpine,319 ,"2,505.9 "
2018,March,2 Eastern, Bass Coast,"1,799 ","5,092.6 "
2018,March,2 Eastern, Baw Baw,"2,929 ","5,631.4 "
2018,March,2 Eastern, Benalla,979 ,"6,981.4 "
2018,March,2 Eastern, Boroondara,"5,631 ","3,104.6 "
2018,March,2 Eastern, East Gippsland,"3,057 ","6,529.8 "
2018,March,2 Eastern, Greater Shepparton,"5,980 ","9,059.5 "
2018,March,2 Eastern, Indigo,339 ,"2,055.9 "
2018,March,2 Eastern, Knox,"8,518 ","5,219.0 "
2018,March,2 Eastern, Latrobe,"9,377 ","12,467.9 "
2018,March,2 Eastern, Manningham,"3,660 ","2,915.5 "
2018,March,2 Eastern, Mansfield,453 ,"5,045.1 "
2018,March,2 Eastern, Maroondah,"5,880 ","5,004.0 "
2018,March,2 Eastern, Mitchell,"3,041 ","6,864.9 "
2018,March,2 Eastern, Moira,"1,504 ","5,047.5 "
2018,March,2 Eastern, Monash,"8,299 ","4,145.1 "
2018,March,2 Eastern, Murrindindi,532 ,"3,674.5 "
2018,March,2 Eastern, South Gippsland,"1,006 ","3,401.5 "
2018,March,2 Eastern, Strathbogie,438 ,"4,115.0 "
2018,March,2 Eastern, Towong,171 ,"2,824.6 "
2018,March,2 Eastern, Wangaratta,"1,799 ","6,185.1 "
2018,March,2 Eastern, Wellington,"2,658 ","6,038.6 "
2018,March,2 Eastern, Whitehorse,"6,497 ","3,685.8 "
2018,March,2 Eastern, Wodonga,"2,370 ","5,720.6 "
2018,March,2 Eastern, Yarra Ranges,"5,516 ","3,487.4 "
2018,March,2 Eastern,Total,"82,752 ","4,869.9 "
2018,March,3 Southern Metro, Bayside,"3,898 ","3,686.2 "
2018,March,3 Southern Metro, Cardinia,"4,273 ","3,989.1 "
2018,March,3 Southern Metro, Casey,"14,746 ","4,331.4 "
2018,March,3 Southern Metro, Frankston,"10,724 ","7,560.3 "
2018,March,3 Southern Metro, Glen Eira,"5,233 ","3,399.8 "
2018,March,3 Southern Metro, Greater Dandenong,"13,627 ","8,202.1 "
2018,March,3 Southern Metro, Kingston,"7,907 ","4,837.5 "
2018,March,3 Southern Metro, Mornington Peninsula,"8,520 ","5,138.0 "
2018,March,3 Southern Metro, Port Phillip,"9,798 ","8,650.5 "
2018,March,3 Southern Metro, Stonnington,"8,007 ","6,885.9 "
2018,March,3 Southern Metro,Total,"86,733 ","5,510.2 "
2018,March,4 Western, Ararat,884 ,"7,494.7 "
2018,March,4 Western, Ballarat,"8,901 ","8,293.6 "
2018,March,4 Western, Buloke,168 ,"2,717.1 "
2018,March,4 Western, Campaspe,"2,511 ","6,680.0 "
2018,March,4 Western, Central Goldfields,907 ,"6,867.1 "
2018,March,4 Western, Colac-Otway,"1,242 ","5,776.2 "
2018,March,4 Western, Corangamite,621 ,"3,847.8 "
2018,March,4 Western, Gannawarra,417 ,"3,954.1 "
2018,March,4 Western, Glenelg,"1,196 ","6,082.2 "
2018,March,4 Western, Golden Plains,481 ,"2,080.6 "
2018,March,4 Western, Greater Bendigo,"7,089 ","6,109.0 "
2018,March,4 Western, Greater Geelong,"16,866 ","6,686.8 "
2018,March,4 Western, Hepburn,639 ,"4,041.2 "
2018,March,4 Western, Hindmarsh,253 ,"4,482.6 "
2018,March,4 Western, Horsham,"1,637 ","8,236.9 "
2018,March,4 Western, Loddon,317 ,"4,219.4 "
2018,March,4 Western, Macedon Ranges,"1,523 ","3,083.8 "
2018,March,4 Western, Mildura,"4,823 ","8,687.6 "
2018,March,4 Western, Moorabool,"1,823 ","5,337.3 "
2018,March,4 Western, Mount Alexander,733 ,"3,756.3 "
2018,March,4 Western, Moyne,464 ,"2,747.7 "
2018,March,4 Western, Northern Grampians,802 ,"7,016.6 "
2018,March,4 Western, Pyrenees,307 ,"4,175.2 "
2018,March,4 Western, Queenscliffe,108 ,"3,621.7 "
2018,March,4 Western, Southern Grampians,"1,004 ","6,222.9 "
2018,March,4 Western, Surf Coast,952 ,"2,951.8 "
2018,March,4 Western, Swan Hill,"1,752 ","8,439.3 "
2018,March,4 Western, Warrnambool,"2,707 ","7,764.7 "
2018,March,4 Western, West Wimmera,114 ,"2,951.8 "
2018,March,4 Western, Yarriambiack,358 ,"5,377.0 "
2018,March,4 Western,Total,"61,599 ","6,185.0 "
2018,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,474 ",
2018,March,Justice Institutions and Immigration Facilities,Total,"1,474 ",
2018,March,Unincorporated Vic, Unincorporated Vic,117 ,
2018,March,Unincorporated Vic,Total,117 ,
2017,March,1 North West Metro, Banyule,"7,447 ","5,767.7 "
2017,March,1 North West Metro, Brimbank,"14,672 ","7,088.0 "
2017,March,1 North West Metro, Darebin,"13,201 ","8,315.5 "
2017,March,1 North West Metro, Hobsons Bay,"5,229 ","5,500.1 "
2017,March,1 North West Metro, Hume,"17,031 ","7,912.6 "
2017,March,1 North West Metro, Maribyrnong,"7,193 ","8,049.3 "
2017,March,1 North West Metro, Melbourne,"28,096 ","17,654.8 "
2017,March,1 North West Metro, Melton,"8,968 ","6,034.3 "
2017,March,1 North West Metro, Moonee Valley,"7,758 ","6,186.1 "
2017,March,1 North West Metro, Moreland,"11,803 ","6,669.3 "
2017,March,1 North West Metro, Nillumbik,"2,171 ","3,359.7 "
2017,March,1 North West Metro, Whittlesea,"12,871 ","5,967.5 "
2017,March,1 North West Metro, Wyndham,"11,967 ","4,964.1 "
2017,March,1 North West Metro, Yarra,"11,310 ","11,782.0 "
2017,March,1 North West Metro,Total,"159,717 ","7,526.6 "
2017,March,2 Eastern, Alpine,280 ,"2,215.5 "
2017,March,2 Eastern, Bass Coast,"1,986 ","5,775.6 "
2017,March,2 Eastern, Baw Baw,"2,894 ","5,710.8 "
2017,March,2 Eastern, Benalla,"1,001 ","7,163.3 "
2017,March,2 Eastern, Boroondara,"7,004 ","3,898.1 "
2017,March,2 Eastern, East Gippsland,"2,952 ","6,398.5 "
2017,March,2 Eastern, Greater Shepparton,"6,307 ","9,621.1 "
2017,March,2 Eastern, Indigo,350 ,"2,142.9 "
2017,March,2 Eastern, Knox,"9,325 ","5,762.3 "
2017,March,2 Eastern, Latrobe,"10,349 ","13,815.6 "
2017,March,2 Eastern, Manningham,"4,064 ","3,270.3 "
