,Local Government Area,Cases,Date,Month
142,STONNINGTON ,89.0,30042020,04
143,BANYULE ,83.0,30042020,04
144,MELBOURNE ,69.0,30042020,04
145,BOROONDARA ,64.0,30042020,04
146,GREATER GEELONG ,63.0,30042020,04
147,MORNINGTON PENINSULA ,60.0,30042020,04
148,CASEY ,53.0,30042020,04
149,MORELAND ,51.0,30042020,04
150,PORT PHILLIP ,47.0,30042020,04
151,GLEN EIRA ,46.0,30042020,04
152,MONASH ,45.0,30042020,04
153,HUME ,37.0,30042020,04
154,FRANKSTON ,36.0,30042020,04
155,MOONEE VALLEY ,36.0,30042020,04
156,DAREBIN ,34.0,30042020,04
157,BRIMBANK ,33.0,30042020,04
158,BAYSIDE ,30.0,30042020,04
159,MANNINGHAM ,29.0,30042020,04
160,WYNDHAM ,29.0,30042020,04
161,KINGSTON ,26.0,30042020,04
162,YARRA ,26.0,30042020,04
163,WHITEHORSE ,23.0,30042020,04
164,WHITTLESEA ,22.0,30042020,04
165,MELTON ,21.0,30042020,04
166,NILLUMBIK ,21.0,30042020,04
167,YARRA RANGES ,21.0,30042020,04
168,GREATER DANDENONG ,14.0,30042020,04
169,HOBSONS BAY ,14.0,30042020,04
170,CARDINIA ,13.0,30042020,04
171,KNOX ,12.0,30042020,04
172,MAROONDAH ,11.0,30042020,04
173,MOIRA ,11.0,30042020,04
174,WELLINGTON ,11.0,30042020,04
175,GREATER SHEPPARTON ,10.0,30042020,04
176,MARIBYRNONG ,10.0,30042020,04
177,SURF COAST ,10.0,30042020,04
178,BALLARAT ,9.0,30042020,04
179,GREATER BENDIGO ,9.0,30042020,04
180,MITCHELL ,9.0,30042020,04
181,LATROBE ,7.0,30042020,04
182,MACEDON RANGES ,7.0,30042020,04
183,Overseas ,7.0,30042020,04
184,MOUNT ALEXANDER ,6.0,30042020,04
185,BAW BAW ,5.0,30042020,04
186,MILDURA ,5.0,30042020,04
187,SOUTH GIPPSLAND ,5.0,30042020,04
188,WARRNAMBOOL ,5.0,30042020,04
189,BASS COAST ,4.0,30042020,04
190,BENALLA ,3.0,30042020,04
191,HORSHAM ,3.0,30042020,04
192,LODDON ,3.0,30042020,04
193,MANSFIELD ,3.0,30042020,04
194,NORTHERN GRAMPIANS ,3.0,30042020,04
195,SWAN HILL ,3.0,30042020,04
196,CAMPASPE ,2.0,30042020,04
197,HEPBURN ,2.0,30042020,04
198,SOUTHERN GRAMPIANS ,2.0,30042020,04
199,STRATHBOGIE ,2.0,30042020,04
200,WANGARATTA ,2.0,30042020,04
201,ARARAT ,1.0,30042020,04
202,CENTRAL GOLDFIELDS ,1.0,30042020,04
203,CORANGAMITE ,1.0,30042020,04
204,EAST GIPPSLAND ,1.0,30042020,04
205,GANNAWARRA ,1.0,30042020,04
206,GLENELG ,1.0,30042020,04
207,GOLDEN PLAINS ,1.0,30042020,04
208,MOORABOOL ,1.0,30042020,04
209,MOYNE ,1.0,30042020,04
210,MURRINDINDI ,1.0,30042020,04
211,WEST WIMMERA ,1.0,30042020,04
212,WODONGA ,1.0,30042020,04
213,YARRIAMBIACK ,1.0,30042020,04
433,MELBOURNE,104.0,31052020,05
434,STONNINGTON,94.0,31052020,05
435,BANYULE,90.0,31052020,05
436,BOROONDARA,72.0,31052020,05
437,BRIMBANK,72.0,31052020,05
438,CASEY,67.0,31052020,05
439,GREATER GEELONG,65.0,31052020,05
440,MORELAND,65.0,31052020,05
441,MORNINGTON PENINSULA,62.0,31052020,05
442,HUME,58.0,31052020,05
443,GLEN EIRA,52.0,31052020,05
444,WYNDHAM,52.0,31052020,05
445,MONASH,50.0,31052020,05
446,PORT PHILLIP,45.0,31052020,05
447,INTERSTATE,44.0,31052020,05
448,MELTON,42.0,31052020,05
449,DAREBIN,41.0,31052020,05
450,FRANKSTON,40.0,31052020,05
451,MOONEE VALLEY,38.0,31052020,05
452,WHITTLESEA,33.0,31052020,05
453,BAYSIDE,31.0,31052020,05
454,YARRA,31.0,31052020,05
455,MANNINGHAM,30.0,31052020,05
456,KINGSTON,26.0,31052020,05
457,NILLUMBIK,25.0,31052020,05
458,WHITEHORSE,25.0,31052020,05
459,YARRA RANGES,25.0,31052020,05
460,HOBSONS BAY,20.0,31052020,05
461,GREATER DANDENONG,18.0,31052020,05
462,CARDINIA,16.0,31052020,05
463,MARIBYRNONG,16.0,31052020,05
464,KNOX,14.0,31052020,05
465,MAROONDAH,13.0,31052020,05
466,GREATER SHEPPARTON,12.0,31052020,05
467,WELLINGTON,12.0,31052020,05
468,BALLARAT,11.0,31052020,05
469,MOIRA,11.0,31052020,05
470,MACEDON RANGES,9.0,31052020,05
471,MITCHELL,9.0,31052020,05
472,SURF COAST,9.0,31052020,05
473,GREATER BENDIGO,8.0,31052020,05
474,LATROBE,7.0,31052020,05
475,MOUNT ALEXANDER,6.0,31052020,05
476,ARARAT,5.0,31052020,05
477,BAW BAW,5.0,31052020,05
478,MILDURA,5.0,31052020,05
479,SOUTH GIPPSLAND,5.0,31052020,05
480,WARRNAMBOOL,5.0,31052020,05
481,BASS COAST,4.0,31052020,05
482,CAMPASPE,4.0,31052020,05
483,BENALLA,3.0,31052020,05
484,HORSHAM,3.0,31052020,05
485,LODDON,3.0,31052020,05
486,MANSFIELD,3.0,31052020,05
487,MOORABOOL,3.0,31052020,05
488,NORTHERN GRAMPIANS,3.0,31052020,05
489,SWAN HILL,3.0,31052020,05
490,GANNAWARRA,2.0,31052020,05
491,HEPBURN,2.0,31052020,05
492,MURRINDINDI,2.0,31052020,05
493,SOUTHERN GRAMPIANS,2.0,31052020,05
494,STRATHBOGIE,2.0,31052020,05
495,WANGARATTA,2.0,31052020,05
496,CENTRAL GOLDFIELDS,1.0,31052020,05
497,CORANGAMITE,1.0,31052020,05
498,EAST GIPPSLAND,1.0,31052020,05
499,GLENELG,1.0,31052020,05
500,GOLDEN PLAINS,1.0,31052020,05
501,MOYNE,1.0,31052020,05
502,WEST WIMMERA,1.0,31052020,05
503,WODONGA,1.0,31052020,05
504,YARRIAMBIACK,1.0,31052020,05
505,UNKNOWN,2.0,31052020,05
728,HUME ,155.0,30062020,06
729,BRIMBANK ,124.0,30062020,06
730,MORELAND ,108.0,30062020,06
731,MOONEE VALLEY ,72.0,30062020,06
732,CASEY ,106.0,30062020,06
733,WHITTLESEA ,62.0,30062020,06
734,MELTON ,62.0,30062020,06
735,MELBOURNE ,106.0,30062020,06
736,WYNDHAM ,70.0,30062020,06
737,MARIBYRNONG ,33.0,30062020,06
738,YARRA ,41.0,30062020,06
739,DAREBIN ,57.0,30062020,06
740,GLEN EIRA ,60.0,30062020,06
741,KINGSTON ,34.0,30062020,06
742,GREATER DANDENONG ,27.0,30062020,06
743,STONNINGTON ,101.0,30062020,06
744,MITCHELL ,15.0,30062020,06
745,PORT PHILLIP ,50.0,30062020,06
746,KNOX ,23.0,30062020,06
747,BANYULE ,97.0,30062020,06
748,INTERSTATE ,62.0,30062020,06
749,HOBSONS BAY ,23.0,30062020,06
750,BOROONDARA ,75.0,30062020,06
751,GREATER GEELONG ,67.0,30062020,06
752,FRANKSTON ,41.0,30062020,06
753,BAYSIDE ,35.0,30062020,06
754,MANNINGHAM ,34.0,30062020,06
755,NILLUMBIK ,27.0,30062020,06
756,WHITEHORSE ,26.0,30062020,06
757,CARDINIA ,23.0,30062020,06
758,GREATER BENDIGO ,9.0,30062020,06
759,LATROBE ,9.0,30062020,06
760,SWAN HILL ,4.0,30062020,06
761,MORNINGTON PENINSULA ,63.0,30062020,06
762,MONASH ,53.0,30062020,06
763,YARRA RANGES ,26.0,30062020,06
764,MAROONDAH ,16.0,30062020,06
765,GREATER SHEPPARTON ,14.0,30062020,06
766,WELLINGTON ,12.0,30062020,06
767,BALLARAT ,11.0,30062020,06
768,MOIRA ,11.0,30062020,06
769,MACEDON RANGES ,9.0,30062020,06
770,SURF COAST ,9.0,30062020,06
771,MOUNT ALEXANDER ,6.0,30062020,06
772,ARARAT ,5.0,30062020,06
773,BAW BAW ,5.0,30062020,06
774,CAMPASPE ,5.0,30062020,06
775,MILDURA ,5.0,30062020,06
776,SOUTH GIPPSLAND ,5.0,30062020,06
777,WARRNAMBOOL ,5.0,30062020,06
778,BASS COAST ,4.0,30062020,06
779,OVERSEAS ,4.0,30062020,06
780,BENALLA ,3.0,30062020,06
781,HORSHAM ,3.0,30062020,06
782,LODDON ,3.0,30062020,06
783,MANSFIELD ,3.0,30062020,06
784,MOORABOOL ,3.0,30062020,06
785,NORTHERN GRAMPIANS ,3.0,30062020,06
786,GANNAWARRA ,2.0,30062020,06
787,HEPBURN ,2.0,30062020,06
788,MURRINDINDI ,2.0,30062020,06
789,SOUTHERN GRAMPIANS ,2.0,30062020,06
790,STRATHBOGIE ,2.0,30062020,06
791,WANGARATTA ,2.0,30062020,06
792,ALPINE ,1.0,30062020,06
793,CENTRAL GOLDFIELDS ,1.0,30062020,06
794,CORANGAMITE ,1.0,30062020,06
795,EAST GIPPSLAND ,1.0,30062020,06
796,GLENELG ,1.0,30062020,06
797,GOLDEN PLAINS ,1.0,30062020,06
798,MOYNE ,1.0,30062020,06
799,WEST WIMMERA ,1.0,30062020,06
800,WODONGA ,1.0,30062020,06
801,YARRIAMBIACK ,1.0,30062020,06
802,UNKNOWN ,13.0,30062020,06
